YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_WAC,DEP_TIME,DEP_DELAY,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,FLIGHTS,DISTANCE_GROUP
2016,1,15,5,1/15/2016,VX,14262,PSP,"Palm Springs, CA",91,14771,SFO,"San Francisco, CA",91,2031,-9,0,2203,-7,0,0,1,2
2016,1,15,5,1/15/2016,VX,12264,IAD,"Washington, DC",38,14771,SFO,"San Francisco, CA",91,1041,41,1,,,,1,1,10
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,12953,LGA,"New York, NY",22,1327,2,0,1729,-11,0,0,1,6
2016,1,15,5,1/15/2016,VX,14771,SFO,"San Francisco, CA",91,11259,DAL,"Dallas, TX",74,723,3,0,1235,-10,0,0,1,6
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,14771,SFO,"San Francisco, CA",91,756,-4,0,944,-6,0,0,1,6
2016,1,15,5,1/15/2016,VX,14771,SFO,"San Francisco, CA",91,11259,DAL,"Dallas, TX",74,1251,-4,0,1806,-14,0,0,1,6
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,14771,SFO,"San Francisco, CA",91,1435,-5,0,1612,-18,0,0,1,6
2016,1,15,5,1/15/2016,VX,11278,DCA,"Washington, DC",38,11259,DAL,"Dallas, TX",74,1119,-1,0,1334,-16,0,0,1,5
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,14771,SFO,"San Francisco, CA",91,1801,-4,0,1951,-4,0,0,1,6
2016,1,15,5,1/15/2016,VX,14771,SFO,"San Francisco, CA",91,11259,DAL,"Dallas, TX",74,1716,-4,0,2231,-14,0,0,1,6
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,11278,DCA,"Washington, DC",38,653,-7,0,1024,-16,0,0,1,5
2016,1,15,5,1/15/2016,VX,12889,LAS,"Las Vegas, NV",85,11259,DAL,"Dallas, TX",74,125,-5,0,555,-15,0,0,1,5
2016,1,15,5,1/15/2016,VX,11259,DAL,"Dallas, TX",74,12889,LAS,"Las Vegas, NV",85,1024,-1,0,1127,12,0,0,1,5
2016,1,15,5,1/15/2016,VX,11278,DCA,"Washington, DC",38,11259,DAL,"Dallas, TX",74,659,-1,0,942,2,0,0,1,5
2016,1,15,5,1/15/2016,VX,11278,DCA,"Washington, DC",38,11259,DAL,"Dallas, TX",74,1818,-12,0,2033,-26,0,0,1,5
